SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,LOI,Li,Rb,Cs,Be,Ta,Nb,Sn,W,Ba,Sr,Y,Zr,Hf,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Source_Sheet,Li_Class,Li_Label,Total_Majors,ilr_SiO2_vs_rest,ilr_TiO2_vs_rest,ilr_Al2O3_vs_rest,ilr_Fe2O3_vs_rest,ilr_FeO_vs_rest,ilr_MgO_vs_rest,ilr_CaO_vs_rest,ilr_Na2O_vs_rest,ilr_K2O_vs_rest,ilr_P2O5_vs_rest,ilr_MnO_vs_rest,Rb_Sr,Ta_Nb,Rb_Cs,La_Yb,Ce_Yb,Sn_W
72.674,0.299,14.253,2.416,2.1739168,0.691,1.804,3.833,2.952,0.076,0.034,0.811,52.32829659802089,115.0846011111919,6.062002900086536,3.122668294088075,0.928719745518143,7.899322975588926,4.13308445382171,,532.871883688724,291.523206093972,8.932845463683673,104.6549044773456,2.812603815813935,10.2061122895119,2.641017923141649,22.99910618779414,42.46712312968094,4.566570629076453,16.48325545164735,3.079111045344858,0.749130468159451,2.557828188453156,0.3635549156401243,1.965717510374366,0.3346045338119283,0.8336035545471654,0.1145927067369575,0.7007376189532695,0.1003179469010667,Awais et al 2022,0.0,poor,102.01691680000002,4.139471203716414,-1.2268533039591654,2.7169704802033343,1.1551482560386526,1.1969422845221047,0.1441307584014439,1.2217509104380657,2.33892982280431,2.7179781900736093,-0.6381581726416231,-2.2428773234055903,0.3947699486883887,0.11756953708414526,18.984583644714036,32.821280841392785,60.60345838591687,
74.789,0.069,14.197,0.894,0.8044212000000001,0.175,1.958,4.335,2.459,0.041,0.023,0.44,78.32571144703655,211.2367633580189,11.05800209359031,7.258463844287985,2.505852419697217,11.69114128716087,6.278992358706208,,219.7475410302146,104.8551779631663,76.0480198203467,10.85515297223195,0.4452739645636939,35.46765113697633,12.81345697812361,37.33575599434307,77.23031943048245,9.034453131441042,34.59255570864067,7.988857847147031,0.784318142303532,8.145677334099256,1.697601399305517,11.15039961875443,2.59690352548233,7.102809660351188,1.03543349689302,5.847918642946347,0.7596948311342622,Awais et al 2022,0.0,poor,100.18442119999999,4.726528057473269,-2.151759348028714,3.2359536760364715,0.6850957787266952,0.6639528739004181,-0.8808855632703314,1.6031047204757238,2.8520055368258164,3.0272463923336135,-0.7328566346202248,-2.0868704624998897,2.014557291889033,0.2143377073416371,19.102615605441123,6.384452020271653,13.20646269996185,
72.872,0.14,15.315,0.808,0.7270384000000001,0.386,1.651,7.066,0.538,0.045,0.013,0.694,2.992844524830157,18.85591323430698,0.1688415326052269,1.819486666713758,0.1899732274498852,2.387702743230327,0.3934682385686867,,1193.279831671087,1170.833832861599,2.204537728493186,91.23674078836368,2.610219897592343,3.906846906481065,0.980720624685955,9.500669083362368,16.39132151891082,1.882634325649942,6.288094259715245,1.085641117666057,0.3354241183886796,0.7908477314555534,0.0984153156668351,0.4029396388020436,0.07394621027797031,0.1811880457659786,0.023384377092225,0.1589701226000782,0.0241523018280733,Awais et al 2022,0.0,poor,100.25503840000002,4.688722434560597,-1.4238696768148087,3.3747600358856036,0.6526066630896071,0.627113679489496,0.04025706152900333,1.639642169328839,3.6336679178120925,1.7174703671358964,-0.6099622759514263,-2.812533204936077,0.016104687706385987,0.07956318180246763,111.67816912912366,59.763865863419134,103.10944755415794,
73.712,0.024,15.247,0.551,0.49578980000000006,0.105,1.037,3.566,4.293,0.031,0.016,0.857,86.16799581168377,355.7623044770904,21.22748284876075,12.34890059068436,3.320956322079542,29.50446354682413,12.60215974245376,,14.40910839673657,19.69899173138587,74.76429411316975,82.64245003779328,4.19735865655901,12.62513133382784,20.44862004492742,17.1948538829818,38.02519186815096,4.621867792834605,17.88060953712551,5.318567515690687,0.1508682195318284,6.244142531264642,1.440380739753133,10.14177880376873,2.145617753291227,6.392316910648238,1.065423893426782,7.064355899271597,0.9565546091347688,Awais et al 2022,0.0,poor,99.93478980000002,4.948770886447698,-3.0006887259664783,3.485815900228716,0.37544119231684747,0.3128375761985532,-1.3153249321252614,0.95239483159831,2.547338541309204,3.5028445200122804,-1.0851452796234677,-2.814885461625759,18.05992455493364,0.11255775983891803,16.759514399883717,2.4340299566100225,5.382683490234648,
73.512,0.107,14.447,0.934,0.8404132000000001,0.246,0.878,3.513,5.348,0.171,0.017,0.571,44.11738390363577,244.6295296819211,8.235956971939439,2.393769843915774,0.7056106302878771,8.390837646636994,4.47546690258921,,293.8275439100166,80.5433555156041,9.279220649263559,50.44739307624256,1.618687003926723,5.108228688963411,3.220477593912145,9.686899098879033,22.40467830995251,2.66145201041036,9.477008645875422,2.588040024742245,0.7491702698971319,2.573730622841646,0.440004157573992,2.094752593024606,0.3284530062617281,0.7041623689863516,0.0921266866876962,0.52770582428856,0.0673327522683365,Awais et al 2022,0.0,poor,100.5844132,4.532882455571219,-1.885688864426365,3.086052073623932,0.5454114950103501,0.5055657838528597,-0.7432216937682452,0.5143595473418969,2.1802017332962547,3.2998938756581593,0.4501854161839222,-2.48489758484772,3.037240354786655,0.08409299047404192,29.702623570690495,18.35662722112016,42.456757683427014,
74.304,0.122,15.051,0.901,0.8107198000000001,0.235,0.694,3.201,3.984,0.092,0.033,1.141,110.4020595678592,317.5715311695996,15.66545872498117,59.61214345739077,5.159739026965384,35.43551907347911,21.74604057932222,,22.4385296923159,15.70661315824401,23.51863518883746,8.22726406174517,0.4697968009742465,8.837422014883908,36.06805058719572,6.453013033904988,15.03488082808179,1.949415474213757,6.986214289402478,2.338056209438558,0.0975955528948766,2.4719759492377,0.5670815243957322,3.70383445058225,0.6789539535986914,1.94720643856628,0.3541496821092883,2.472497190455614,0.3329332335194178,Awais et al 2022,0.0,poor,100.5687198,4.528560421806744,-1.7640670339923308,3.125394492024458,0.5078023054382413,0.4629209713020799,-0.8030217169423741,0.2360945587803139,1.9983462360544915,2.8325290242231183,-0.6093476250015039,-2.5053873634545503,20.21896942199243,0.14560924072443096,20.272086297937715,2.609917236231873,6.080848498481516,
76.954,0.009,13.528,0.084,0.0755832,0.075,0.3,5.204,3.607,0.157,0.037,0.184,4.444966444289618,543.0480571595704,50.85658608040554,29.21733979813466,20.34893118508797,49.55132106076459,10.4121257806626,,5.704001199673005,2.912740803370943,2.270242540295472,4.643791943187046,0.4954306011232743,1.595623391020724,6.125301828232898,0.6577997968115616,1.564928192332923,0.2131498234334023,0.7109105391061544,0.376001261429472,0.007287420461816,0.4792806770057853,0.097870480987386,0.4822968589540261,0.05417491006168158,0.1155844538155688,0.0193179652553331,0.1086645107747328,0.0116769409119393,Awais et al 2022,0.0,poor,100.21458319999999,5.4524270413642695,-3.5228065248610143,3.816386002595823,-1.123107627141814,-1.3863570682773239,-1.609193805908305,-0.3854144025894963,2.718164278622802,3.0858781741262535,0.5252677396319659,-1.1342118953188147,186.43885392448774,0.41066374719120313,10.678028137810857,6.053492461538017,14.401465401865204,
74.815,0.009,14.471,0.313,0.28163740000000004,0.081,0.609,5.4,3.664,0.038,0.023,0.436,90.15951437587246,564.418057549779,96.09025730868021,24.65127963511731,14.74823388332854,33.84615088680082,9.02075236861732,,3.771782544016075,2.833101070131594,26.37533215231796,41.59950188028347,2.839911608216053,3.65376229060975,8.952962958522656,3.916910189295936,9.282049558212467,1.257118771631251,4.561334464297149,2.197325374445768,0.0098514616337512,2.487425631558164,0.6006845854314576,3.656490963830354,0.610496878056838,1.775189937793662,0.3834775881442938,3.46763113618482,0.5154770057493485,Awais et al 2022,0.0,poor,100.1406374,5.207455208059756,-3.761594387713816,3.623426151176224,-0.015137966286791066,-0.1300375613514805,-1.4961732567711488,0.43962106876998897,2.9783494328969082,3.3971894782045853,-0.7911705470639957,-2.0804128214432254,199.22270458341342,0.4357433119250199,5.873832304732447,1.1295636806414837,2.67676958525203,
73.2413,0.0255,14.751,0.1543,0.13883914,0.061,0.3632,2.6288,7.4553,0.1353,0.0035,0.5123152709361667,0.0,289.0968575725027,57.45107110633727,4.009586251342642,2.0564141783029,3.379598711063373,6.059679484425349,8.737653276047261,1069.419651987111,36.49292373791622,4.593220193340494,20.8549052631579,1.013458216970999,1.011351235230935,9.392924597207305,2.235507626208378,4.473122234156821,0.4656429645542428,1.605520085929109,0.4003265306122449,0.2886564983888292,0.5119965628356606,0.1137770139634801,0.7353366272824919,0.1664515574650913,0.5899548872180451,0.1032421052631579,0.8111879699248121,0.1011351235230935,Bhandari et al 2022,0.0,poor,99.47035441093615,5.327708844566593,-2.5152805361435284,3.9236900550767073,-0.44996909144445446,-0.6230897125561584,-1.607821060040598,0.05196194895768948,2.2765973398366577,4.142731736865832,0.9484774980670914,-3.5257597319458553,7.921997690531177,0.6084788029925187,5.032053397880222,2.7558441558441555,5.514285714285714,0.6935133831685555
73.2627,0.1685,17.2031,1.2715,1.1440957,0.4023,0.1524,0.3711,4.766,0.03,0.0101,2.278106508875686,0.6836829215896886,226.5183415682062,3.732306766917294,5.639309129967777,8.103147583243825,11.37321589688507,4.689032867883996,5.714557250268529,224.0050543501611,12.10634758324383,25.45966401718583,141.3181198711063,5.723157035445758,17.9241022556391,10.19289538131042,26.13044726100967,55.63416025778733,6.181095596133191,22.44758925886144,5.286717937701397,0.6514337271750806,5.979000644468315,1.040574006444683,5.364116004296457,1.057773576799141,2.904577443609023,0.3977400644468314,2.504687432867884,0.2751931256713212,Bhandari et al 2022,0.0,poor,101.05990220887567,4.812855434962363,-1.0991596285869962,3.6609696749704383,1.3301830201044333,1.3954130515973593,0.4823696929686574,-0.49258948282283493,0.39171235588062364,3.4534077224649042,-1.3232309171407022,-3.8315036842151966,18.710708577517305,0.712476370510397,60.69124423963132,10.432618025751076,22.212017167381976,0.8205417607223476
